F49C	0F630FA4
F49D	0F630FA40F72
F49E	0F630FA40F80
F49F	0F630FA40F74
F4A0	0F630FA40F7A
F4A1	0F630FA40F7C
F4A2	0F660FA4
F4A3	0F660FA40F72
F4A4	0F660FA40F80
F4A5	0F660FA40F74
F4A6	0F660FA40F7A
F4A7	0F660FA40F7C
F4A8	0F660FA40FB1
F4A9	0F660FA40FB10F72
F4AA	0F660FA40FB10F80
F4AB	0F660FA40FB10F74
F4AC	0F660FA40FB10F7A
F4AD	0F660FA40FB10F7C
F4AE	0F660FA40FB2
F4AF	0F660FA40FB20F72
F4B0	0F660FA40FB20F80
F4B1	0F660FA40FB20F74
F4B2	0F660FA40FB20F7A
F4B3	0F660FA40FB20F7C
F4B4	0F550F71
F4B5	0F550F72
F4B6	0F550F80
F4B7	0F550F74
F4B8	0F550F7A
F4B9	0F550F7C
F4BA	0F550FB1
F4BB	0F550FB10F72
F4BC	0F550FB10F80
F4BD	0F550FB10F74
F4BE	0F550FB10F7A
F4BF	0F550FB10F7C
F4C0	0F550FB10FAD
F4C1	0F550FB2
F4C2	0F550FB20F72
F4C3	0F550FB20F80
F4C4	0F550FB20F74
F4C5	0F550FB20F7A
F4C6	0F550FB20F7C
F4C7	0F670FA5
F4C8	0F670FA50F71
F4C9	0F670FA50F72
F4CA	0F670FA50F74
F4CB	0F670FA50F7A
F4CC	0F670FA50F7C
F4CD	0F560F71
F4CE	0F560F72
F4CF	0F560F80
F4D0	0F560F74
F4D1	0F560F7A
F4D2	0F560F7C
F4D3	0F560FB1
F4D4	0F560FB10F72
F4D5	0F560FB10F80
F4D6	0F560FB10F74
F4D7	0F560FB10F7A
F4D8	0F560FB10F7C
F4D9	0F560FB2
F4DA	0F560FB20F72
F4DB	0F560FB20F80
F4DC	0F560FB20F74
F4DD	0F560FB20F7A
F4DE	0F560FB20F7C
F4DF	0F560FB3
F4E0	0F560FB30F72
F4E1	0F560FB30F80
F4E2	0F560FB30F74
F4E3	0F560FB30F7A
F4E4	0F560FB30F7C
F4E5	0F620FA6
F4E6	0F620FA60F72
F4E7	0F620FA60F80
F4E8	0F620FA60F74
F4E9	0F620FA60F7A
F4EA	0F620FA60F7C
F4EB	0F630FA6
F4EC	0F630FA60F72
F4ED	0F630FA60F80
F4EE	0F630FA60F74
F4EF	0F630FA60F7A
F4F0	0F630FA60F7C
F4F1	0F660FA6
F4F2	0F660FA60F72
F4F3	0F660FA60F80
F4F4	0F660FA60F74
F4F5	0F660FA60F7A
F4F6	0F660FA60F7C
F4F7	0F660FA60FB1
F4F8	0F660FA60FB10F72
F4F9	0F660FA60FB10F80
F4FA	0F660FA60FB10F74
F4FB	0F660FA60FB10F7A
F4FC	0F660FA60FB10F7C
F4FD	0F660FA60FB2
F4FE	0F660FA60FB20F72
F4FF	0F660FA60FB20F80
F500	0F660FA60FB20F74
F501	0F660FA60FB20F7A
F502	0F660FA60FB20F7C
F503	0F570F71
F504	0F570F72
F505	0F570F80
F506	0F570F74
F507	0F570F7A
F508	0F570F7C
F509	0F580F71
F50A	0F580F72
F50B	0F580F80
F50C	0F580F74
F50D	0F580F7A
F50E	0F580F7C
F50F	0F580FB1
F510	0F580FB10F72
F511	0F580FB10F80
F512	0F580FB10F74
F513	0F580FB10F7A
F514	0F580FB10F7C
F515	0F580FB2
F516	0F580FB20F72
F517	0F580FB20F80
F518	0F580FB20F74
F519	0F580FB20F7A
F51A	0F580FB20F7C
F51B	0F620FA8
F51C	0F620FA80F72
F51D	0F620FA80F80
F51E	0F620FA80F74
F51F	0F620FA80F7A
F520	0F620FA80F7C
F521	0F620FA80FB10F7C
F522	0F620FA80FB10F72
F523	0F620FA80FB10F80
F524	0F620FA80FB10F74
F525	0F620FA80FB10F7A
F526	0F620FA80FB10F7C
F527	0F660FA8
F528	0F660FA80F72
F529	0F660FA80F80
F52A	0F660FA80F74
F52B	0F660FA80F7A
F52C	0F660FA80F7C
F52D	0F660FA80FB1
F52E	0F660FA80FB10F72
F52F	0F660FA80FB10F80
F530	0F660FA80FB10F74
F531	0F660FA80FB10F7A
F532	0F660FA80FB10F7C
F533	0F660FA80FB2
F534	0F660FA80FB20F72
F535	0F660FA80FB20F80
F537	0F660FA80FB20F7A
F538	0F660FA80FB20F7C
F539	0F590F71
F53A	0F590F72
F53B	0F590F80
F53C	0F590F74
F53D	0F590F7A
F53E	0F590F7C
F53F	0F620FA9
F540	0F620FA90F72
F541	0F620FA90F80
F542	0F620FA90F74
F543	0F620FA90F7A
F544	0F620FA90F7C
F545	0F620FA90FAD
F546	0F660FA9
F547	0F660FA90F72
F548	0F660FA90F80
F549	0F660FA90F74
F54A	0F660FA90F7A
F54B	0F660FA90F7C
F54C	0F5A0F71
F54D	0F5A0F72
F54E	0F5A0F80
F54F	0F5A0F74
F550	0F5A0F7A
F551	0F5A0F7C
F552	0F5A0FAD
F553	0F5B0F71
F554	0F5B0F72
F555	0F5B0F80
F556	0F5B0F74
F557	0F5B0F7A
F558	0F5B0F7C
F559	0F620FAB
F55A	0F620FAB0F72
F55B	0F620FAB0F80
F55C	0F620FAB0F74
F55D	0F620FAB0F7A
F55E	0F620FAB0F7C
F55F	0F5C0F71
F560	0F5C0F72
F561	0F5C0F80
F562	0F5C0F74
F563	0F5C0F7A
F564	0F5C0F7C
F565	0F630FA60F71
F566	0F630FA60F72
F567	0F630FA60F80
F568	0F630FA60F74
F569	0F630FA60F7A
F56A	0F630FA60F7C
F56B	0F5E0F39
F56C	0F5E0F71
F56D	0F5E0F72
F56E	0F5E0F710F72
F56F	0F5E0F80
F570	0F5E0F74
F571	0F5E0F7A
F572	0F5E0F7C
F573	0F5E0F7E
F574	0F5E0FB20F7A
F575	0F5E0FB20FAD
F576	0F5E0FAD
F577	0F5E0F92
F578	0F5E0F94
F579	0F5E0F940F80
F57A	0F5E0FA3
F57B	0F5E0FA30F72
F57C	0F5F0F39
F57D	0F5F0F71
F57E	0F5F0F72
F57F	0F5F0F80
F580	0F5F0F74
F581	0F5F0F7A
F582	0F5F0F7C
F583	0F5F0FB20F72
F584	0F5F0FB20F80
F585	0F5F0FB3
F586	0F5F0FB30F72
F587	0F5F0FB30F80
F588	0F5F0FB30F74
F589	0F5F0FB30F7A
F58A	0F5F0FB30F7C
F58B	0F5F0FAD
F58C	0F5F0FAD0F74
F58D	0F5F0FAD0F7A
F58E	0F5F0FAD0F7C
F58F	0F5F0F94
F590	0F600F39
F591	0F600F72
F592	0F600F390F72
F593	0F600F80
F594	0F600F74
F595	0F600F390F74
F596	0F600F7A
F597	0F600F7C
F598	0F600F710F7C
F599	0F600F7E
F59A	0F600F740F7E
F59B	0F600F94
F59C	0F600F390F94
F59D	0F600FB10FAD
F59E	0F600FAD
F59F	0F600F390FAD0F72
F5A0	0F600F390FAD0F80
F5A1	0F600FAD0F7A
F5A2	0F600FAD0F7C
F5A3	0F610F71
F5A4	0F610F72
F5A5	0F610F80
F5A6	0F610F74
F5A7	0F610F7A
F5A8	0F610F7C
F5A9	0F620F71
F5AA	0F620F72
F5AB	0F620F74
F5AC	0F620F7A
F5AD	0F620F7C
F5AE	0F620FB3
F5AF	0F620FB30F72
F5B0	0F620FB30F80
F5B1	0F620FB30F74
F5B2	0F620FB30F7A
F5B3	0F620FB30F7C
F5B4	0F620FAD
F5B5	0F630F71
F5B6	0F630F72
F5B7	0F630F74
F5B8	0F630F7A
F5B9	0F630F7C
F5BA	0F630FAD
F5BB	0F640F71
F5BC	0F640F72
F5BD	0F640F80
F5BE	0F640F74
F5BF	0F640F7A
F5C0	0F640F7C
F5C1	0F640FAD
F5C2	0F650F71
F5C3	0F650F72
F5C4	0F650F80
F5C5	0F650F74
F5C6	0F650F7A
F5C7	0F650F7C
F5C8	0F660F71
F5C9	0F660F72
F5CA	0F660F80
F5CB	0F660F74
F5CC	0F660F7A
F5CD	0F660F7C
F5CE	0F660FB2
F5CF	0F660FB20F72
F5D0	0F660FB20F80
F5D1	0F660FB20F74
F5D2	0F660FB20F7A
F5D3	0F660FB20F7C
F5D4	0F660FB3
F5D5	0F660FB30F72
F5D6	0F660FB30F80
F5D7	0F660FB30F74
F5D8	0F660FB30F7A
F5D9	0F660FB30F7C
F5DA	0F660FAD
F5DB	0F660FAD0F72
F5DC	0F660FAD0F80
F5DD	0F660FAD0F74
F5DE	0F660FAD0F7A
F5DF	0F660FAD0F7C
F5E0	0F670F71
F5E1	0F670F72
F5E2	0F670F80
F5E3	0F670F74
F5E4	0F670F7A
F5E5	0F670F7C
F5E7	0F670FB20F72
F5E8	0F670FB20F80
F5E9	0F670FB20F74
F5EA	0F670FB20F7A
F5EB	0F670FB20F7C
F5EC	0F670FAD
F5ED	0F630FB7
F5EE	0F630FB70F72
F5EF	0F630FB70F80
F5F0	0F630FB70F74
F5F1	0F630FB70F7A
F5F2	0F630FB70F7C
F5F3	0F690F71
F5F4	0F690F72
F5F5	0F690F80
F5F6	0F690F74
F5F7	0F690F7A
F5F8	0F690F7C
F5F9	0F680F71
F5FA	0F680F710F72
F5FB	0F680F710F74
F5FC	0F620F80
F5FD	0F620F710F80
F5FE	0F630F80
F5FF	0F630F710F80
F600	0F680F7B
F601	0F680F710F7C
F602	0F680F7D
F603	0F680F7E
F604	0F680F83
F605	0F680F710F7E
F606	0F680F720F7E
F607	0F680F710F720F7E
F608	0F680F740F7E
F609	0F680F710F740F7E
F60A	0F680F710F740F83
F60B	0F620F800F7E
F60C	0F630F800F7E
F60D	0F680F710F7C0F7E
F60E	0F680F710F7C0F83
F60F	0F680F7D0F7E
F610	0F680FB10F7C
F611	0F680FB10F7D
F612	0F400F710F72
F613	0F400F710F74
F614	0F400F710F80
F615	0F400FB30F710F80
F616	0F400F710F7A
F617	0F400F7B
F618	0F400F7D
F619	0F400F7E
F61A	0F400F710F7E
F61B	0F880F90
F61C	0F400F90
F61D	0F400F900F71
